File,liens
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62027_85.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62099_3.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM56001_10.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52055_10.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM51012_161.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM64075_46.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52011_43.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM25121_75.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM56011_2.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM25015_305.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM25014_43.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM53020_3.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM82009_8.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM53028_10.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM93022_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM56022_43.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63035_3.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62122_59.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM25023_3.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM25084_18.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62079_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM85047_249.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62119_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM64023_85.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52012_246.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62051_99.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM51014_4.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM25107_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM91030_2.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM83013_164.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM91030_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM61068_18.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62093_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63045_44.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM85047_47.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM51017_32.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM57093_377.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62122_256.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM82032_148.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM92141_3.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM57003_3.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM51014_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM82009_204.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63086_53.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM57003_18.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM85011_114.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM93088_221.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63023_9.html
wallonie_scraping.csv,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM83012_3.html
