place_liste,nom,position_elu,elu,place_positionelu,commune,INS_commune,province,parti,parti_propre,liste,lien,last_elu,diff_avec_last
30,TALHI Abdelmalek,14,oui,16,Forest / Vorst,21007,Bruxelles-Capitale,PS,PS,FOREST/PS,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21007_132.html,6,24
25,DE RIDDER Gregory,9,oui,16,Courcelles,52015,Hainaut,MR,MR,COURCELLES/MR,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52015_10.html,3,22
30,DELHAYE Louise,14,oui,16,Evere,21006,Bruxelles-Capitale,LB RUDI VERVOORT,LB RUDI VERVOORT,EVERE/LB RUDI VERVOORT,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21006_132.html,8,22
34,BONJEAN Jean-Paul,18,oui,16,Liège,62063,Liège,PS,PS,LIÈGE/PS,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62063_3.html,13,21
32,MAATI Naïma,17,oui,15,Brussels,21004,Bruxelles-Capitale,PS - sp.a,PS - sp.a,BRUXELLES/PS - sp.a,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21004_132.html,9,23
41,BAKKOUCHE Djamila,26,oui,15,Charleroi,52011,Hainaut,PS,PS,CHARLEROI/PS,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52011_3.html,19,22
30,BENNANI Sofia,16,oui,14,Anderlecht,21001,Bruxelles-Capitale,PS-SP.A-CDH,PS-SP.A-CDH,ANDERLECHT/PS-SP.A-CDH,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_132.html,8,22
28,SPAGNOLETTI Sara,14,oui,14,Herstal,62051,Liège,PS,PS,HERSTAL/PS,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62051_3.html,7,21
36,BRICHAUX Danièle,23,oui,13,Mons,53053,Hainaut,P.S.,PS,MONS/P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM53053_3.html,9,27
34,JUDE Caroline,21,oui,13,Mons,53053,Hainaut,P.S.,PS,MONS/P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM53053_3.html,9,25
37,BERNARD Stéphane,25,oui,12,Mons,53053,Hainaut,P.S.,PS,MONS/P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM53053_3.html,9,28
34,VANDEVELDE Jean-Jacques,22,oui,12,Woluwe-Saint-Lambert / Sint-Lambrechts-Woluwe,21018,Bruxelles-Capitale,Liste du Bourgmestre,Liste du/de la Bourgmestre,WOLUWE-SAINT-LAMBERT/Liste du Bourgmestre,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21018_129.html,8,26
31,ANTONINI Fabio,19,oui,12,Mons,53053,Hainaut,P.S.,PS,MONS/P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM53053_3.html,9,22
27,LACROIX Pierre,16,oui,11,Braine-l'Alleud,25014,Brabant wallon,L. Bourgmestre,L. Bourgmestre,BRAINE-L'ALLEUD/L. Bourgmestre,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM25014_88.html,6,21
33,PRIVITERA Emmanuele,24,oui,9,La Louvière,55022,Hainaut,PS,PS,LA LOUVIÈRE/PS,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM55022_3.html,6,27
26,MILANO Aurelia,18,oui,8,Seraing,62096,Liège,PS,PS,SERAING/PS,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62096_3.html,4,22
29,AYÇIK Ali,25,oui,4,La Louvière,55022,Hainaut,PS,PS,LA LOUVIÈRE/PS,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM55022_3.html,6,23
