numero,liste,resultat_2019,resultat_2014,pourcent_2019,pourcent_2014,evolution_en_pourcent,commune,lien,INS,Entités administratives,Langue,Administratieve eenheden,Province,Region
NA,PARTI LIBERTARIEN,-,14,-,"0,12%",-,Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,Égalitaires !,-,20,-,"0,17%",-,Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,LaLutte-DeStrijd,-,4,-,"0,03%",-,Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,ISLAM,-,200,-,"1,73%",-,Berchem-Sainte-Agathe,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21003,21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
2,ECOLO,12.186,5.961,"19,35%","9,65%","+9,70%",Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
3,Open Vld,1.961,2.143,"3,11%","3,47%","-0,35%",Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
5,CDH,3.854,6.813,"6,12%","11,02%","-4,91%",Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
6,MR,6.904,9.857,"10,96%","15,95%","-4,99%",Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
7,PARTI POPULAIRE,1.025,1.114,"1,63%","1,80%","-0,18%",Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
8,N-VA,2.561,2.133,"4,07%","3,45%","+0,61%",Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
9,VLAAMS BELANG,1.130,761,"1,79%","1,23%","+0,56%",Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
10,CD&V,1.128,1.304,"1,79%","2,11%","-0,32%",Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
11,DéFI,4.475,-,"7,10%",-,"+0,11%",Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,FDF,-,4.321,-,"6,99%",-,Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
12,PTB*PVDA,10.320,-,"16,38%",-,"+12,12%",Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,PTB*PVDA-GO !,-,2.633,-,"4,26%",-,Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
13,LISTES DESTEXHE,1.170,-,"1,86%",-,-,Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
17,PS,16.273,18.529,"25,84%","29,98%","-4,15%",Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,sp.a,-,1.846,-,"2,99%",-,Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,MG,-,59,-,"0,10%",-,Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,LA DROITE,-,232,-,"0,38%",-,Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,DEBOUT LES BELGES!,-,1.765,-,"2,86%",-,Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,GAUCHES COMMUNES,-,155,-,"0,25%",-,Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,NATION,-,139,-,"0,22%",-,Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,Agora Erasmus,-,41,-,"0,07%",-,Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,PARTI LIBERTARIEN,-,79,-,"0,13%",-,Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,Égalitaires !,-,190,-,"0,31%",-,Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,LaLutte-DeStrijd,-,19,-,"0,03%",-,Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,ISLAM,-,1.708,-,"2,76%",-,Bruxelles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21004,21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
2,ECOLO,4.354,2.276,"26,72%","13,49%","+13,23%",Etterbeek,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21005,21005,Etterbeek,FN,Etterbeek,BXL,RÉGION DE BRUXELLES-CAPITALE
3,Open Vld,415,392,"2,55%","2,32%","+0,22%",Etterbeek,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21005,21005,Etterbeek,FN,Etterbeek,BXL,RÉGION DE BRUXELLES-CAPITALE
5,CDH,1.074,1.625,"6,59%","9,63%","-3,04%",Etterbeek,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21005,21005,Etterbeek,FN,Etterbeek,BXL,RÉGION DE BRUXELLES-CAPITALE
6,MR,3.825,4.866,"23,47%","28,85%","-5,37%",Etterbeek,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21005,21005,Etterbeek,FN,Etterbeek,BXL,RÉGION DE BRUXELLES-CAPITALE
7,PARTI POPULAIRE,225,250,"1,38%","1,48%","-0,10%",Etterbeek,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21005,21005,Etterbeek,FN,Etterbeek,BXL,RÉGION DE BRUXELLES-CAPITALE
8,N-VA,410,335,"2,52%","1,99%","+0,53%",Etterbeek,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21005,21005,Etterbeek,FN,Etterbeek,BXL,RÉGION DE BRUXELLES-CAPITALE
9,VLAAMS BELANG,159,125,"0,98%","0,74%","+0,23%",Etterbeek,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21005,21005,Etterbeek,FN,Etterbeek,BXL,RÉGION DE BRUXELLES-CAPITALE
10,CD&V,233,241,"1,43%","1,43%","+0,00%",Etterbeek,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21005,21005,Etterbeek,FN,Etterbeek,BXL,RÉGION DE BRUXELLES-CAPITALE
11,DéFI,1.466,-,"9,00%",-,"-1,91%",Etterbeek,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21005,21005,Etterbeek,FN,Etterbeek,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,FDF,-,1.839,-,"10,90%",-,Etterbeek,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21005,21005,Etterbeek,FN,Etterbeek,BXL,RÉGION DE BRUXELLES-CAPITALE
12,PTB*PVDA,1.502,-,"9,22%",-,"+5,59%",Etterbeek,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21005,21005,Etterbeek,FN,Etterbeek,BXL,RÉGION DE BRUXELLES-CAPITALE
