numero,liste,resultat_2019,resultat_2014,pourcent_2019,pourcent_2014,evolution_en_pourcent,commune,lien,INS,Entités administratives,Langue,Administratieve eenheden,Province,Region
NA,MGJOD,-,5,-,"0,05%",-,Fontaine-l'Evêque,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52022,52022,Fontaine-l'Evêque,F,Fontaine-l'Evêque,Province du Hainaut,RÉGION WALLONNE
NA,PIRATE,-,52,-,"0,57%",-,Fontaine-l'Evêque,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52022,52022,Fontaine-l'Evêque,F,Fontaine-l'Evêque,Province du Hainaut,RÉGION WALLONNE
NA,R.W.F.,-,25,-,"0,27%",-,Fontaine-l'Evêque,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52022,52022,Fontaine-l'Evêque,F,Fontaine-l'Evêque,Province du Hainaut,RÉGION WALLONNE
NA,FW,-,30,-,"0,33%",-,Fontaine-l'Evêque,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52022,52022,Fontaine-l'Evêque,F,Fontaine-l'Evêque,Province du Hainaut,RÉGION WALLONNE
2,ECOLO,1.013,427,"12,28%","5,25%","+7,03%",Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
5,CDH,1.391,1.276,"16,86%","15,68%","+1,18%",Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
6,MR,1.705,2.147,"20,67%","26,39%","-5,72%",Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
7,PARTI POPULAIRE,284,561,"3,44%","6,90%","-3,45%",Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
9,VLAAMS BELANG,58,-,"0,70%",-,-,Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
11,DéFI,402,-,"4,87%",-,"+2,27%",Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
NA,FDF,-,212,-,"2,61%",-,Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
12,PTB,903,-,"10,95%",-,"+6,38%",Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
NA,PTB-GO !,-,372,-,"4,57%",-,Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
13,LISTES DESTEXHE,245,-,"2,97%",-,-,Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
17,PS,1.943,2.488,"23,56%","30,58%","-7,02%",Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
21,LA DROITE,83,61,"1,01%","0,75%","+0,26%",Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
22,PCB,9,-,"0,11%",-,-,Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
23,Lutte Ouvrière,37,23,"0,45%","0,28%","+0,17%",Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
24,Collectif Citoyen,62,-,"0,75%",-,-,Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
25,NATION,42,28,"0,51%","0,34%","+0,17%",Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
26,AGIR,71,-,"0,86%",-,-,Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
NA,MG,-,12,-,"0,15%",-,Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
NA,DEBOUT LES BELGES,-,206,-,"2,53%",-,Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
NA,NWA,-,5,-,"0,06%",-,Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
NA,RassemblementWalon,-,26,-,"0,32%",-,Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
NA,Faire place Nette,-,114,-,"1,40%",-,Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
NA,P+,-,25,-,"0,31%",-,Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
NA,B.U.B.,-,5,-,"0,06%",-,Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
NA,WALLONIE D'ABORD,-,58,-,"0,71%",-,Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
NA,MGJOD,-,2,-,"0,02%",-,Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
NA,PIRATE,-,52,-,"0,64%",-,Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
NA,R.W.F.,-,19,-,"0,23%",-,Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
NA,FW,-,17,-,"0,21%",-,Gerpinnes,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52025,52025,Gerpinnes,F,Gerpinnes,Province du Hainaut,RÉGION WALLONNE
2,ECOLO,816,375,"13,58%","6,37%","+7,21%",Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
5,CDH,1.033,874,"17,19%","14,85%","+2,35%",Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
6,MR,1.612,1.926,"26,83%","32,72%","-5,89%",Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
7,PARTI POPULAIRE,190,319,"3,16%","5,42%","-2,26%",Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
9,VLAAMS BELANG,31,-,"0,52%",-,-,Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
11,DéFI,300,-,"4,99%",-,"+2,43%",Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
NA,FDF,-,151,-,"2,56%",-,Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
12,PTB,568,-,"9,45%",-,"+6,11%",Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
NA,PTB-GO !,-,197,-,"3,35%",-,Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
13,LISTES DESTEXHE,96,-,"1,60%",-,-,Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
17,PS,1.121,1.645,"18,66%","27,94%","-9,28%",Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
21,LA DROITE,50,44,"0,83%","0,75%","+0,08%",Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
22,PCB,11,-,"0,18%",-,-,Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
23,Lutte Ouvrière,36,27,"0,60%","0,46%","+0,14%",Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
24,Collectif Citoyen,98,-,"1,63%",-,-,Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
25,NATION,11,9,"0,18%","0,15%","+0,03%",Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
26,AGIR,35,-,"0,58%",-,-,Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
NA,MG,-,15,-,"0,25%",-,Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
NA,DEBOUT LES BELGES,-,111,-,"1,89%",-,Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
NA,NWA,-,5,-,"0,08%",-,Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
NA,RassemblementWalon,-,11,-,"0,19%",-,Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
NA,Faire place Nette,-,51,-,"0,87%",-,Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
NA,P+,-,12,-,"0,20%",-,Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
NA,B.U.B.,-,6,-,"0,10%",-,Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
NA,WALLONIE D'ABORD,-,41,-,"0,70%",-,Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
NA,MGJOD,-,2,-,"0,03%",-,Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
NA,PIRATE,-,38,-,"0,65%",-,Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
NA,R.W.F.,-,15,-,"0,25%",-,Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
NA,FW,-,13,-,"0,22%",-,Les Bons Villers,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52075,52075,Les Bons Villers,F,Les Bons Villers,Province du Hainaut,RÉGION WALLONNE
2,ECOLO,958,398,"15,25%","6,18%","+9,06%",Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
5,CDH,444,715,"7,07%","11,11%","-4,04%",Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
6,MR,1.734,2.267,"27,59%","35,21%","-7,62%",Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
7,PARTI POPULAIRE,237,322,"3,77%","5,00%","-1,23%",Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
9,VLAAMS BELANG,58,-,"0,92%",-,-,Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
11,DéFI,367,-,"5,84%",-,"+3,74%",Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
NA,FDF,-,135,-,"2,10%",-,Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
12,PTB,684,-,"10,88%",-,"+6,95%",Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
NA,PTB-GO !,-,253,-,"3,93%",-,Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
13,LISTES DESTEXHE,118,-,"1,88%",-,-,Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
17,PS,1.470,1.887,"23,39%","29,31%","-5,92%",Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
21,LA DROITE,44,36,"0,70%","0,56%","+0,14%",Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
22,PCB,6,-,"0,10%",-,-,Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
23,Lutte Ouvrière,46,14,"0,73%","0,22%","+0,51%",Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
24,Collectif Citoyen,52,-,"0,83%",-,-,Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
25,NATION,19,12,"0,30%","0,19%","+0,12%",Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
26,AGIR,47,-,"0,75%",-,-,Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
NA,MG,-,8,-,"0,12%",-,Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
NA,DEBOUT LES BELGES,-,148,-,"2,30%",-,Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
NA,NWA,-,8,-,"0,12%",-,Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
NA,RassemblementWalon,-,9,-,"0,14%",-,Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
NA,Faire place Nette,-,84,-,"1,30%",-,Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
NA,P+,-,37,-,"0,57%",-,Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
NA,B.U.B.,-,5,-,"0,08%",-,Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
NA,WALLONIE D'ABORD,-,30,-,"0,47%",-,Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
NA,MGJOD,-,5,-,"0,08%",-,Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
NA,PIRATE,-,39,-,"0,61%",-,Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
NA,R.W.F.,-,19,-,"0,30%",-,Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
NA,FW,-,7,-,"0,11%",-,Montigny-le-Tilleul,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52048,52048,Montigny-le-Tilleul,F,Montigny-le-Tilleul,Province du Hainaut,RÉGION WALLONNE
2,ECOLO,1.673,824,"15,73%","7,71%","+8,02%",Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
5,CDH,752,993,"7,07%","9,29%","-2,22%",Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
6,MR,2.067,2.742,"19,43%","25,64%","-6,21%",Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
7,PARTI POPULAIRE,616,854,"5,79%","7,99%","-2,20%",Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
9,VLAAMS BELANG,104,-,"0,98%",-,-,Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
11,DéFI,630,-,"5,92%",-,"+3,14%",Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
NA,FDF,-,297,-,"2,78%",-,Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
12,PTB,1.379,-,"12,96%",-,"+8,33%",Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
NA,PTB-GO !,-,495,-,"4,63%",-,Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
13,LISTES DESTEXHE,153,-,"1,44%",-,-,Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
17,PS,2.770,3.595,"26,04%","33,62%","-7,58%",Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
21,LA DROITE,79,65,"0,74%","0,61%","+0,13%",Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
22,PCB,18,-,"0,17%",-,-,Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
23,Lutte Ouvrière,110,53,"1,03%","0,50%","+0,54%",Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
24,Collectif Citoyen,167,-,"1,57%",-,-,Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
25,NATION,50,23,"0,47%","0,22%","+0,25%",Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
26,AGIR,71,-,"0,67%",-,-,Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
NA,MG,-,10,-,"0,09%",-,Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
NA,DEBOUT LES BELGES,-,236,-,"2,21%",-,Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
NA,NWA,-,11,-,"0,10%",-,Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
NA,RassemblementWalon,-,20,-,"0,19%",-,Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
NA,Faire place Nette,-,117,-,"1,09%",-,Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
NA,P+,-,30,-,"0,28%",-,Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
NA,B.U.B.,-,7,-,"0,07%",-,Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
NA,WALLONIE D'ABORD,-,86,-,"0,80%",-,Pont-à-Celles,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX52055,52055,Pont-à-celles,F,Pont-à-celles,Province du Hainaut,RÉGION WALLONNE
